Gene	Gene description	Concentration
CP	Ceruloplasmin	830 mg/L
GSN	Gelsolin	510 mg/L
RBP4	Retinol binding protein 4	420 mg/L
C3	Complement C3	250 mg/L
HPX	Hemopexin	230 mg/L
APOA1	Apolipoprotein A1	220 mg/L
A2M	Alpha-2-macroglobulin	220 mg/L
APOD	Apolipoprotein D	220 mg/L
SERPINC1	Serpin family C member 1	210 mg/L
APOA2	Apolipoprotein A2	210 mg/L
SERPINA1	Serpin family A member 1	210 mg/L
TTR	Transthyretin	180 mg/L
CFB	Complement factor B	180 mg/L
FGA	Fibrinogen alpha chain	170 mg/L
AZGP1	"Alpha-2-glycoprotein 1, zinc-binding"	160 mg/L
PGLYRP2	Peptidoglycan recognition protein 2	160 mg/L
APOA4	Apolipoprotein A4	140 mg/L
AHSG	Alpha 2-HS glycoprotein	140 mg/L
HP	Haptoglobin	140 mg/L
TF	Transferrin	120 mg/L
FGB	Fibrinogen beta chain	120 mg/L
ORM1	Orosomucoid 1	120 mg/L
IGLL5	Immunoglobulin lambda like polypeptide 5	120 mg/L
CFH	Complement factor H	110 mg/L
AGT	Angiotensinogen	110 mg/L
SERPINF2	Serpin family F member 2	110 mg/L
APOC2	Apolipoprotein C2	110 mg/L
IGLL1	Immunoglobulin lambda like polypeptide 1	100 mg/L
C4A	Complement C4A (Rodgers blood group)	98 mg/L
APOC3	Apolipoprotein C3	97 mg/L
C9	Complement C9	97 mg/L
C4B	Complement C4B (Chido blood group)	97 mg/L
SERPINA3	Serpin family A member 3	95 mg/L
SERPIND1	Serpin family D member 1	94 mg/L
APOB	Apolipoprotein B	89 mg/L
SERPINF1	Serpin family F member 1	85 mg/L
HPR	Haptoglobin-related protein	77 mg/L
APCS	"Amyloid P component, serum"	76 mg/L
LRG1	Leucine rich alpha-2-glycoprotein 1	74 mg/L
SAA4	"Serum amyloid A4, constitutive"	72 mg/L
AMBP	Alpha-1-microglobulin/bikunin precursor	71 mg/L
GC	"GC, vitamin D binding protein"	69 mg/L
FGG	Fibrinogen gamma chain	68 mg/L
